,Hostname,Letter,Earth Radii,Earth Masses,Density (g/m^3),Semi-Major Axis,Orbital Period,Eccentricity,Spectral Type,Star Radius,Star Temperature,Star Mass,Planet Type
21542,Kepler-341,d,1.96,,,0.1791,27.6665971,0.0,,1.0,6008.0,1.0,rocky
21543,Kepler-341,b,1.18,,,0.06,5.195528,,,1.02,6012.0,,rocky
21544,Kepler-67,b,2.81,,,0.1153,15.72589061,0.0,,0.75,5324.0,0.83,icy
21545,Kepler-67,b,2.69,,,0.1151,15.72585941,0.0,,0.76,5332.0,0.82,icy
21546,Kepler-1107,b,1.38,,,0.0129,0.57103852,0.0,,0.86,5203.0,0.88,rocky
21547,Kepler-1271,b,,,,,3.02558494,,,1.17,6050.0,1.13,?
21548,Kepler-172,d,2.21,,,0.1132,14.62698952,0.0,,1.01,5583.0,0.9,icy
21549,Kepler-1274,b,1.31,,,0.0799,6.98152703,0.0,,2.13,6131.0,1.42,rocky
21550,Kepler-1274,b,,,,,6.98141327,,,2.34,5972.25,1.1,?
21551,Kepler-250,d,2.23,,,0.1257,17.64830992,0.0,,0.8,5162.0,0.85,icy
21552,Kepler-26,e,2.572,,,,,,,0.6,4049.0,0.64,icy
21553,Kepler-252,b,,,,,6.66836145,,,0.68,4458.0,0.7,?
21554,Kepler-252,b,1.2,,,0.0588,6.66834872,0.0,,0.59,4208.0,0.61,rocky
21555,Kepler-81,d,1.42,,,0.1278,20.83762895,0.0,,0.63,4261.0,0.64,rocky
21556,Kepler-722,c,,,,,105.145959,,,0.97,5732.0,1.02,?
21557,Kepler-32,f,2.01,,,,0.74295884,,,0.54,3903.0,0.57,rocky
21558,Kepler-32,f,,,,,0.74295905,,,0.57,3791.0,0.57,?
21559,Kepler-262,b,,,,,13.06078532,,,0.96,5435.5,0.95,?
21560,Kepler-280,c,,,,,4.80710325,,,1.04,5451.96,0.95,?
21561,Kepler-1290,b,1.52,,,0.0557,4.69500134,0.0,,0.96,5999.0,1.04,rocky
21562,Kepler-1290,b,1.49,,,0.0557,4.69505576,0.0,,0.96,5999.0,1.04,rocky
21563,Kepler-189,b,,,,,10.39986173,,,0.77,5073.0,0.85,?
21564,Kepler-341,e,,,,,42.4718417,,,1.2,5669.0,1.01,?
21565,Kepler-341,e,2.43,,,0.2383,42.4730575,0.0,,1.0,6008.0,1.0,icy
21566,Kepler-341,e,2.03,,,0.2348,42.4729078,0.0,,1.11,5616.0,0.96,rocky
21567,Kepler-342,d,2.08,,,0.241,39.45988,0.0,,1.12,6464.0,1.19,rocky
21568,Kepler-230,c,,,,,91.77716205,,,0.77,5333.0,0.92,?
21569,Kepler-230,c,2.6,,,0.387,91.7743,0.0,,0.83,5608.0,0.92,icy
21570,Kepler-81,d,1.39,,,0.128,20.83798,0.0,,0.59,4500.0,0.65,rocky
21571,Kepler-1093,b,,,,,25.08227667,,,1.41,6343.61,1.26,?
21572,Kepler-1094,b,,,,,78.09953284,,,1.27,5675.41,1.01,?
21573,Kepler-1094,b,2.8,,,0.368,78.0971,0.0,,0.99,6158.0,1.09,icy
21574,Kepler-173,b,1.28,,,0.0476,4.26374378,0.0,,0.94,6032.0,0.79,rocky
21575,Kepler-1276,b,1.09,,,0.1055,12.5720095,0.0,,1.07,6456.0,0.99,rocky
21576,Kepler-1277,b,1.5,,,0.2237,40.8366307,0.0,,0.93,5529.0,0.89,rocky
21577,Kepler-1278,b,0.77,,,0.0419,3.23941344,0.0,,0.86,6075.0,0.93,rocky
21578,Kepler-1382,b,1.21,,,0.127,16.35834,0.0,,0.93,5983.0,1.03,rocky
21579,Kepler-245,c,,,,,17.46086986,,,0.83,5031.0,0.84,?
21580,Kepler-245,c,2.6,,,0.121,17.46067,0.0,,0.8,5215.0,0.78,icy
21581,Kepler-1383,b,1.36,,,0.119,13.9095,0.0,,1.33,6327.0,1.16,rocky
21582,Kepler-262,b,1.3,,,0.108,13.06062,0.0,,0.88,5823.0,0.99,rocky
