,Hostname,Letter,Earth Radii,Earth Masses,Density (g/m^3),Semi-Major Axis,Orbital Period,Eccentricity,Spectral Type,Star Radius,Star Temperature,Star Mass,Planet Type
5499,TrES-2,b,14.186,,,,,,,1.05,5819.0,,gassy
5500,Kepler-12,b,18.22,,,0.0545,4.43796303,0.0,,1.42,5953.0,1.09,gassy
5501,KOI-12,b,14.307,,,,17.8739396,,,1.49,6779.2,,gassy
5502,HAT-P-11,b,4.45,26.69772,1.68,0.05259,4.88781501,,,0.69,4780.0,0.81,icy
5503,Kepler-670,b,12.21,,,0.0383,2.8165049,0.0,,0.95,5532.0,0.94,gassy
5504,HAT-P-29,b,12.408,214.85308,0.62,0.06669,5.72339,0.104,,1.22,6087.0,1.21,gassy
5505,WASP-66,b,12.911,,,,4.08605693,,,1.48,6580.0,,gassy
5506,HAT-P-27,b,11.635,209.759,,0.0403,3.039586,0.078,G8,0.9,5300.0,0.94,gassy
5507,WASP-7,b,10.256,305.1168,1.67,0.0618,4.954658,0.0,,1.24,6400.0,1.28,gassy
5508,KOI-12,b,14.63,,,0.1463,17.8552197,0.0,,1.52,6635.0,1.31,gassy
5509,HAT-P-19,b,12.212,,,,4.0093907,,,0.8,5007.0,,gassy
5510,WASP-19,b,15.805,362.3262,,,0.79,,,1.03,5503.0,0.97,gassy
5511,WASP-17,b,21.232,,,,3.7354838,,,1.57,6650.0,,gassy
5512,WASP-50,b,13.141,,,,1.95509316,,,0.87,5400.0,,gassy
5513,WASP-99,b,,,,,5.7525907,,,,,,?
5514,WASP-181,b,13.271,95.03117,0.237,0.05427,4.5195064,,G2,0.96,5839.0,1.04,gassy
5515,Kepler-6,b,13.41,,,0.0435,3.23469931,0.0,,1.29,5640.0,1.05,gassy
5516,Kepler-6,b,13.06,,,0.0435,3.23469928,0.0,,1.29,5640.0,1.05,gassy
5517,Kepler-1658,b,11.8,,,0.056,3.8493724,0.0,,2.6,6391.0,1.61,gassy
5518,Kepler-1658,b,15.198,,,,3.84860026,,,3.91,5843.47,,gassy
5519,Kepler-25,b,,,,,6.23853269,,,1.48,6212.0,1.2,?
5520,Kepler-25,c,4.51,,,0.113,12.72037435,0.0,,1.31,6270.0,1.19,icy
5521,Kepler-25,c,6.51,,,0.113,12.720365,0.0,,1.66,6103.0,1.19,gassy
5522,Kepler-76,b,13.2,,,,1.54492888,,,1.39,6371.0,1.24,gassy
5523,Kepler-76,b,13.111,,,,,,,1.38,6300.0,,gassy
5524,Kepler-41,b,10.24,,,0.0286,1.85555754,0.0,,0.95,5657.0,0.9,gassy
5525,KOI-217,b,13.14,,,0.0485,3.90508198,0.0,,0.89,5543.0,1.0,gassy
5526,KOI-217,b,11.7,,,0.047,3.905081,0.0,,0.82,5595.0,0.92,gassy
5527,KOI-217,b,12.505,,,,,,,0.87,5545.0,,gassy
5528,TOI-1442,b,1.657,,,,0.4090671,,,0.31,3328.0,,rocky
5529,TOI-2081,b,1.838,,,,10.50534132,,,0.52,3742.0,,rocky
5530,TOI-1452,b,1.672,4.82,5.6,0.061,11.06201,0.0,M4 &#177 0.5 V,0.28,3185.0,0.25,rocky
5531,HD 1397,b,,,,,11.53508,,,2.34,5521.0,1.32,?
5532,HD 160691,c,,576.519,,5.235,4205.8,0.0985,,,,1.08,gassy
5533,HD 160691,d,,10.5547,,0.09094,9.6386,0.172,,,,1.08,icy
5534,HD 160691,e,,165.8685,,0.921,310.55,0.0666,,,,1.08,gassy
5535,HD 160691,b,,626.1251,,1.65,743.0,0.62,G5 V,,,1.08,gassy
5536,HD 160691,b,,540.311,,1.5,637.0,0.31,,,,1.08,gassy
5537,HD 160691,b,,530.75,,1.5,645.5,0.2,,,5807.0,1.08,gassy
5538,HD 160691,c,,985.23,,4.17,2986.0,0.57,,,5807.0,1.08,gassy
5539,HD 160691,d,,14.0,,0.09,9.55,0.0,,,5813.0,1.1,icy
5540,HD 160691,b,,532.978,,1.535,646.485,0.0001,,1.38,5771.56,1.03,gassy
5541,HD 160691,c,,770.07,,5.543,4472.967,0.027,,1.38,5771.56,1.03,gassy
5542,HD 160691,d,,10.17,,0.09286,9.6369,0.184,,1.38,5771.56,1.03,icy
5543,HD 160691,e,,152.552,,0.934,307.475,0.079,,1.38,5771.56,1.03,gassy
5544,GJ 436,b,4.222,23.1688,1.69,0.02872,2.64385,,,0.46,3350.0,0.45,icy
5545,CoRoT-12,b,,,,,2.828041,,,1.12,5675.0,1.08,?
5546,GJ 1132,b,1.13,1.66,6.3,0.0153,1.628931,0.22,,0.21,3270.0,0.18,rocky
5547,Kepler-6,b,14.83,212.619,0.352,0.04567,3.234723,0.0,,1.39,5647.0,1.21,gassy
5548,TOI-1296,b,13.798,94.71287,0.198,0.0497,3.9443715,0.055,,1.66,5603.0,1.17,gassy
5549,Kepler-41,b,9.55,156.69019,0.9975,0.02895,1.8555588,,,0.94,5660.0,0.94,gassy
5550,TOI-1227,b,6.545,,,,27.36334303,,,0.44,3050.0,,gassy
5551,HIP 41378,d,,,,,1114.0,,,1.34,6226.0,1.17,?
5552,GJ 143,b,2.61,22.7,7.0,0.1915,35.61253,0.188,K4.5,0.69,4640.0,0.73,icy
5553,Kepler-396,b,3.49,,,0.2277,42.99255302,0.0,,1.06,5579.0,0.85,icy
5554,Kepler-25,c,4.51,,,0.113,12.72037435,0.0,,1.31,6270.0,1.19,icy
5555,Kepler-1658,b,11.994,1868.8404,6.36,0.0544,3.84937278,0.0628,,2.89,6216.0,1.45,gassy
5556,Kepler-76,b,14.01,635.63,,,1.54492875,0.0,F,1.32,6409.0,1.2,gassy
5557,Kepler-41,b,11.657,177.9848,0.7,0.02396,1.8555577,,,1.02,5620.0,1.12,gassy
5558,WASP-166,b,7.004,,,,5.44353357,,,1.25,6313.0,,gassy
5559,K2-60,b,7.656,135.39558,1.7,0.045,3.00265,0.0,G4 V,1.12,5500.0,0.97,gassy
5560,Kepler-25,b,2.6,4036.3,,0.068,6.2385,,,1.36,6190.0,1.22,icy
5561,Kepler-25,c,5.2,24.6,0.9,,12.7204,,,1.31,6270.0,1.19,icy
5562,Kepler-25,c,,,,,12.72037026,,,1.48,6212.0,1.2,?
5563,Kepler-76,b,13.67,,,0.0276,1.54492888,0.0,,1.44,6308.0,1.17,gassy
5564,Kepler-41,b,,,,,1.85555757,,,1.41,5651.75,1.0,?
5565,KOI-217,b,13.08,,,,3.90508198,,,0.88,5525.0,0.97,gassy
5566,GJ 1132,b,1.43,1.63,3.1,0.01533,1.6289287,,,0.26,,0.18,rocky
5567,TOI-2406,b,2.779,,,,3.07668275,,,0.2,3163.0,,icy
5568,HAT-P-14,b,,,,,4.627682,,,,6600.0,,?
5569,HAT-P-25,b,,,,,3.65281591,,,0.91,5610.0,0.99,?
5570,HAT-P-30,b,,230.74458,,,,0.02,,,,1.24,gassy
5571,HAT-P-35,b,,,,,3.6466594,,,,,,?
5572,HAT-P-5,b,13.563,311.4734,,,2.78849,0.0,,1.12,5960.0,1.04,gassy
5573,WASP-25,b,,,,,3.7648334,,,0.92,5703.0,1.0,?
5574,WASP-2,b,,291.76794,,,,0.0054,,,,0.85,gassy
5575,WASP-44,b,12.778,282.539,0.811,0.03473,2.4238039,0.0,,0.93,5410.0,0.95,gassy
5576,WASP-97,b,,,,,2.07275975,,,,,,?
5577,HAT-P-52,b,10.711,,,,2.7535993,,,0.86,5032.08,,gassy
5578,K2-260,b,,,,,2.6266974,,F6 V,1.69,6367.0,1.39,?
5579,HD 28109,c,4.351,,,,56.00654985,,,1.41,6321.0,,icy
5580,Kepler-41,b,10.05,,,0.0286,1.85555756,0.0,,0.95,5657.0,0.9,gassy
5581,Kepler-686,b,,,,,1.59474546,,,1.16,5703.0,1.02,?
5582,TOI-954,b,9.55,55.30242,0.35,0.04963,3.6849729,0.14,,1.89,5710.0,1.2,gassy
5583,TOI-2025,b,12.52,1398.44499,3.9,0.092,8.872078,0.41,,1.56,5880.0,1.32,gassy
5584,TOI-519,b,11.994,4449.62,,0.012,1.2652328,,M3.5,0.37,3350.0,0.37,gassy
5585,K2-27,b,5.36,,,0.0703,6.771315,,,1.03,5797.0,1.01,icy
5586,Kepler-785,b,9.86,,,0.027,1.97376051,0.0,,0.62,4656.0,0.68,gassy
5587,Kepler-7,b,,,,,4.8854889,,,2.08,5974.0,1.1,?
5588,GJ 436,b,,21.67601,,,,0.1495,,,,0.45,?
5589,K2-131,b,1.5,,,,0.369311,,,0.81,5200.0,,rocky
5590,Kepler-396,b,3.168,,,,,,,0.9,5656.0,,icy
5591,Kepler-491,b,,,,,4.22538411,,,1.03,5501.0,0.96,?
5592,K2-155,b,1.55,,,0.0546,6.34365,,,0.53,3919.0,0.54,rocky
5593,GJ 1132,b,,1.58,,,,,,,,,rocky
5594,K2-30,b,14.762,,,,4.09841721,,,1.06,5198.0,,gassy
5595,TOI-5153,b,11.355,,,,20.9108406,,,1.38,6408.0,,gassy
5596,TOI-1601,b,14.61,,,,5.33155,,,2.22,5917.0,,gassy
5597,TOI-700,c,2.65,,,0.0929,16.05111,0.078,,0.42,3461.0,0.41,icy
5598,CoRoT-35,b,18.831,349.61125,0.29,0.0429,3.22748,0.0,F6 V,1.65,6390.0,1.01,gassy
5599,K2-188,c,2.625,,,,7.807595,,,1.11,5982.0,1.11,icy
5600,K2-285,b,2.652,,,,3.4715644,,,0.77,5144.5,,icy
5601,K2-3,d,1.53,11.1,17.5,0.2086,44.5705,0.045,,0.55,,0.61,rocky
5602,KOI-94,c,4.32,15.6,0.91,0.1013,10.423648,0.43,,1.52,6182.0,1.28,icy
5603,Kepler-14,b,12.21,,,0.0787,6.7901216,0.0,,2.08,6378.0,1.39,gassy
5604,Kepler-43,b,12.498,982.0947,2.78,0.044,3.0240933,,,1.33,6041.0,1.24,gassy
5605,Kepler-411,c,3.37,,,0.0726,7.83442788,0.0,,0.77,4987.0,0.83,icy
5606,K2-3,b,2.14,8.1,4.5,,10.05403,0.0,,0.56,3896.0,0.6,rocky
5607,TOI-519,b,12.166,,,,1.26524452,,,0.36,3225.0,,gassy
5608,Kepler-762,b,12.05,,,0.0493,3.77055147,0.0,,1.07,6322.0,1.12,gassy
5609,Kepler-77,b,10.761,136.661,0.603,0.04501,3.57878087,0.0,G5 V,0.99,5520.0,0.95,gassy
5610,TOI-3629,b,8.295,82.63539,0.8,0.043,3.936551,0.05,M1,0.6,3870.0,0.63,gassy
5611,K2-87,b,7.6,,,0.094,9.726618,,,1.4,5747.0,1.16,gassy
5612,HATS-44,b,11.929,,,,2.74390294,,,0.89,4860.0,,gassy
5613,HD 28109,b,2.199,18.496,,0.1357,22.89104,0.3307,F8/G0 V,1.45,6120.0,1.26,rocky
5614,K2-19,b,7.34,,,,7.920994,,,0.91,5345.0,0.9,gassy
5615,TOI-824,b,3.05,,,,1.392975,,,0.73,4452.0,,icy
5616,K2-275,c,2.51,,,,8.43903,,,0.7,,,icy
5617,HAT-P-39,b,17.609,180.84527,0.1836,0.05095,3.54387,0.17,,1.62,6430.0,1.4,gassy
5618,TOI-2445,b,1.25,,,0.0064,0.3711281,,,0.27,3333.0,0.25,rocky
5619,LHS 1478,b,1.257,,,,1.94952132,,,0.26,3414.0,,rocky
5620,K2-285,b,2.59,9.68,3.07,0.03817,3.471745,0.0,K2 V,0.79,4975.0,0.83,icy
5621,HATS-76,b,11.757,,,,1.94163657,,,0.63,3837.0,,gassy
5622,K2-260,b,17.396,451.3186,0.5,0.0404,2.6266657,0.0,F6 V,1.69,6367.0,1.39,gassy
5623,K2-174,b,2.59,,,,19.56325,,,0.76,4246.81,0.66,icy
5624,K2-330,b,2.77,,,,13.774798,,,1.5,6232.0,1.23,icy
5625,Kepler-63,b,,,,,9.43415263,,,0.94,5497.0,0.96,?
5626,L 98-59,c,1.385,2.22,4.57,0.0304,3.6906777,0.103,M3 V,0.3,3415.0,0.27,rocky
5627,L 98-59,e,,3.06,,0.0717,12.796,0.128,M3 V,0.3,3415.0,0.27,rocky
5628,TOI-677,b,13.115,392.83788,,0.1038,11.2366,0.435,F8,1.28,6295.0,1.18,gassy
5629,GJ 9827,b,1.75,,,0.02,1.208957,,K6 V,0.65,4255.0,0.66,rocky
5630,LTT 3780,b,1.332,2.62,6.1,0.01211,0.768448,0.0,M4 V,0.37,3331.0,0.4,rocky
5631,K2-371,b,11.972,,,,3.1148917,,,0.75,4973.0,,gassy
5632,TOI-1516,b,15.244,1004.33777,,,2.056014,,F8 V,1.14,6520.0,1.14,gassy
5633,GJ 436,b,4.1,25.4,,0.0308,2.64389803,0.1616,,0.46,3416.0,0.56,icy
5634,K2-333,b,5.3,,,,14.759595,,,1.19,6070.0,,icy
5635,TOI-640,b,19.93,,,,5.00377538,,,2.09,6442.0,,gassy
5636,TOI-905,b,13.126,211.99261,0.515,0.04666,3.739494,0.024,,0.92,5570.0,0.97,gassy
5637,Kepler-45,b,10.761,153.82972,0.68,0.02987,2.4552339,0.23,,0.55,3820.0,0.59,gassy
5638,Kepler-491,b,9.0,,,0.0516,4.22538454,0.0,,1.05,5574.0,1.02,gassy
5639,HD 118203,b,13.138,,,,6.1349783,,,2.05,5828.7,,gassy
5640,K2-232,b,11.209,126.49634,,0.10356,11.168454,0.258,,1.16,6154.0,1.19,gassy
5641,HD 160691,b,,1366.66215,,,645.0,,G3 IV-V,1.33,5773.0,1.13,gassy
5642,HD 160691,c,,1398.44499,,,3947.0,,G3 IV-V,1.33,5773.0,1.13,gassy
5643,Qatar-1,b,13.227,419.85343,0.99,0.02343,1.42002504,0.012,,0.8,4910.0,0.85,gassy
5644,TrES-4,b,20.602,158.27934,0.099,0.05159,3.55392771,0.015,,1.81,6295.0,1.45,gassy
5645,Kepler-408,b,,,,,2.46504552,,,1.25,6078.0,1.14,?
5646,Kepler-408,b,0.78,,,0.036,2.465031,0.0,,1.31,6027.0,1.05,rocky
5647,Kepler-408,b,0.7,,,0.0366,2.46502616,0.0,,1.23,6104.0,1.08,rocky
5648,Kepler-408,b,0.69,,,0.0359,2.46502433,0.0,,1.19,6139.0,1.02,rocky
5649,Kepler-408,b,0.7,,,0.0366,2.46502616,0.0,,1.23,6104.0,1.08,rocky
5650,Qatar-1,b,13.047,346.42,0.918,0.02343,1.420033,0.0,,0.82,4861.0,0.85,gassy
5651,Qatar-1,b,,,,,1.42002461,,,0.82,4861.0,0.85,?
5652,TrES-4,b,,,,,3.5539266,,,1.82,6200.0,1.39,?
5653,TOI-969,b,3.65,,,,1.8237371,,,0.82,4249.1,,icy
5654,TrES-4,b,20.299,,,,3.5539303,,,2.01,6184.0,,gassy
5655,K2-266,d,3.246,,,,14.69891247,,,0.73,4362.0,,icy
5656,TOI-969,b,2.765,9.1,2.34,0.02636,1.8237305,,K V,0.67,4435.0,0.73,icy
5657,TOI-969,c,,3591.461,,2.52,1700.0,0.628,K V,0.67,4435.0,0.73,gassy
5658,KMT-2021-BLG-1898L,b,,232.01474,,1.9,,,,,,0.48,gassy
5659,HD 160691,d,,,,,9.6392,,G3 IV-V,1.33,5773.0,1.13,?
5660,HD 160691,e,,2224.79885,,,307.9,,G3 IV-V,1.33,5773.0,1.13,gassy
5661,TOI-269,b,2.77,8.8,2.28,0.0345,3.6977104,0.425,M2 V,0.4,3514.0,0.39,icy
5662,K2-180,b,2.31,,,0.0753,8.867209,,,0.72,5358.0,0.72,icy
5663,K2-55,b,,,,,2.84947127,,,0.74,4279.0,0.67,?
5664,TOI-500,b,1.166,1.42,4.89,0.01189,0.548177,0.063,K6 V,0.68,4440.0,0.74,rocky
5665,OGLE2-TR-L9,b,18.304,1398.452,1.25,0.04047,2.48553417,,,1.5,6933.0,1.43,gassy
5666,HATS-34,b,12.543,,,,2.10616073,,,0.94,5380.0,,gassy
5667,GJ 667 C,b,,5.661,,0.05,7.2,0.122,,,3650.0,,icy
5668,GJ 667 C,c,,3.709,,0.125,28.143,0.133,,,3650.0,,rocky
5669,HD 89345,b,6.972,,,,11.81417262,,,1.79,5609.0,,gassy
5670,LHS 1140,b,1.635,6.38,8.04,0.0957,24.73694,0.096,,0.21,2988.0,0.19,rocky
5671,Kepler-412,b,15.031,299.07803,0.52,0.02897,1.7208604,,,1.29,5750.0,1.17,gassy
5672,LHS 3844,b,1.303,,,0.00622,0.46292913,,M5,0.19,3036.0,0.15,rocky
5673,GJ 9827,c,1.24,1.45,4.13,0.0429,3.64823,,K6 V,0.62,4219.0,0.64,rocky
5674,Kepler-45,b,11.11,,,0.02967,2.45523906,,M1 V,0.55,3814.0,0.58,gassy
5675,GJ 667 C,b,,5.6,,0.050431,7.1999,0.15,,,3650.0,,icy
5676,kap CrB,b,,591.1638,,2.6,1251.0,0.073,,4.84,4871.0,,gassy
5677,YZ Cet,b,,0.7,,0.01634,2.02087,0.06,M4.5 V,0.16,3151.0,0.14,rocky
5678,K2-121,b,7.644,,,,5.185759,,,0.69,4695.0,0.73,gassy
5679,Kepler-410 A,b,,,,,17.83365704,,,1.43,6304.0,1.24,?
5680,K2-3,b,,,,,10.05176778,,,0.55,3920.0,0.55,?
5681,K2-43,b,4.13,,,0.03784,3.47114,,,0.57,3939.0,0.6,icy
5682,K2-105,b,,,,,8.267,,,0.92,5411.15,0.94,?
5683,K2-19,b,6.751,,,,7.919493,,,0.83,5391.0,0.9,gassy
5684,KMT-2021-BLG-1898L,b,,251.08444,,3.0,,,,,,0.48,gassy
5685,Qatar-1,b,,,,,1.42002429,,,,,,?
5686,Kepler-1517,b,9.708,,,,5.54612185,,,1.89,6963.86,,gassy
5687,TrES-4,b,,,,,3.55392921,,,,,,?
5688,Qatar-1,b,,,,,1.42002433,,,0.8,4910.0,0.85,?
5689,HD 206893,b,,8263.53858,,10.4,10600.0,0.23,F5 V,,6500.0,1.31,gassy
5690,K2-344,b,1.6,,,,3.355854,,,0.55,3860.0,,rocky
5691,TrES-4,b,19.627,292.4036,0.213,0.05092,3.553945,,,1.82,6200.0,1.39,gassy
5692,HD 20794,b,,2.7,,0.1207,18.315,0.0,G8 V,,5401.0,0.7,rocky
5693,HD 20794,c,,2.4,,0.2036,40.114,0.0,G8 V,,5401.0,0.7,rocky
5694,TrES-4,b,,267.93069,,,,0.015,,,,1.34,gassy
5695,TrES-4,b,,,,,3.553945,0.0,,1.85,,1.4,?
5696,TrES-4,b,19.123,291.45011,0.23,0.05084,3.5539246,0.0,,,6200.0,,gassy
5697,Qatar-1,b,12.733,405.23325,1.2,0.02298,1.42002406,,,0.78,,0.8,gassy
5698,Qatar-1,b,12.801,410.95419,1.08,0.02313,1.42002586,,,0.8,4910.0,0.82,gassy
5699,Kepler-408,b,0.67,,,,2.46502616,,,1.23,6192.0,1.09,rocky
5700,TrES-4,b,20.602,157.00802,0.099,0.0516,3.55392771,0.016,,1.81,6295.0,1.45,gassy
5701,Qatar-1,b,13.227,422.7139,1.1,0.02343,1.42002504,0.0,,0.8,4910.0,0.85,gassy
5702,HD 20794,b,,2.82,,0.127,18.33,0.27,G8,,,0.81,rocky
5703,HD 20794,c,,2.52,,0.225,43.17,0.17,G8,,,0.81,rocky
5704,Qatar-1,b,12.812,411.27202,1.076,0.02332,1.4200242,0.0,,0.8,5013.0,0.84,gassy
5705,Kepler-408,b,0.722,,,,,,,1.25,6089.0,,rocky
5706,TrES-4,b,18.046,247.9074,,,3.55395,0.0,,1.66,6200.0,1.08,gassy
5707,HD 11755,b,,1789.3829,,1.09,433.70001,0.19,,20.58,4312.0,0.72,gassy
5708,K2-266,b,3.3,11.26782,,0.01306,0.658524,,,0.7,4285.0,0.69,icy
5709,K2-266,d,2.93,8.9,2.03,0.1035,14.697,0.047,,0.7,4285.0,0.69,icy
5710,K2-266,e,2.73,14.3,2.21,0.1249,19.482,0.043,,0.7,4285.0,0.69,icy
5711,K2-275,c,2.5,,,,8.438635,,,0.75,,,icy
5712,Kepler-412,b,,,,,1.72086128,,,1.33,5832.83,1.05,?
5713,Kepler-723,b,,,,,4.08227489,,,,,,?
5714,kap CrB,b,,689.6911,,2.8,1300.0,0.125,,4.84,4871.0,,gassy
5715,HD 142,b,,397.27,,1.02,349.7,0.17,,1.47,6245.0,1.23,gassy
5716,HD 142,c,,1684.4,,6.8,6005.0,0.21,,1.47,6245.0,1.23,gassy
5717,HD 142,b,,416.34,,1.045,350.3,0.26,,,6249.0,1.24,gassy
5718,HD 142,b,,327.35,,1.0,339.0,0.37,G1 IV,,6025.0,1.15,gassy
5719,HD 110537,b,,8644.78715,,16.589764,24469.67342295,0.401407,,,,1.02,gassy
5720,HD 127506,b,,26.61699,,0.287149,65.78395386,0.239894,,,,0.73,?
5721,HD 140901,c,,1685.33019,,7.343138,7417.50547213,0.607482,,,,0.99,gassy
5722,HD 142,d,,81.62789,,0.474065,108.45298959,0.129711,,,,1.21,gassy
5723,HD 142,b,,395.51812,,1.038376,351.43394308,0.157528,,,,1.21,gassy
5724,HD 142,c,,3521.33769,,9.815941,10159.64279484,0.276797,,,,1.21,gassy
5725,HD 149806,b,,3878.07724,,12.278296,16521.52777877,0.357139,,,,0.93,gassy
5726,HD 153557,b,,20.05856,,0.068049,7.29902668,0.065355,,,,0.79,?
5727,HD 153557,c,,17.30766,,0.111312,15.27017677,0.511322,,,,0.79,icy
5728,HD 155918,b,,7.50192,,0.030046,1.87567261,-0.079533,,,,1.03,icy
5729,HD 155918,c,,1849.85628,,13.125939,17202.19446178,0.07103,,,,1.03,gassy
5730,HD 18143,b,,10.50968,,0.087639,10.28510117,0.224176,,,,0.85,icy
5731,HD 18143,c,,3115.44391,,17.521435,28982.41764205,0.194257,,,,0.85,gassy
5732,Kepler-55,c,27.87,,,0.2047,42.1412664,0.0,,0.66,4505.0,0.65,gassy
5733,HD 40307,c,,6.43,,0.0812,9.6207,0.103,K3 V,,4977.0,0.77,icy
5734,Kepler-55,e,1.51,,,0.0469,4.61746693,0.0,,0.66,4505.0,0.65,rocky
5735,Kepler-55,b,1.9,,,0.1593,27.9541337,0.0,,0.65,4500.0,0.71,rocky
5736,Kepler-1652,b,,,,,38.09665972,,,,,,?
5737,Kepler-52,c,1.9,,,,16.38481298,,,0.68,4116.0,0.64,rocky
5738,Kepler-60,b,2.2,,,0.075,7.131618,0.0,,1.47,6180.0,1.12,icy
5739,Kepler-60,c,2.4,,,0.087,8.91935,0.0,,1.47,6180.0,1.12,icy
5740,Kepler-60,d,2.5,,,0.106,11.90162,0.0,,1.47,6180.0,1.12,icy
5741,Kepler-33,e,,,,,31.7849578,,,1.71,5904.0,1.07,?
5742,Kepler-33,b,,,,,5.66815821,,,1.71,5904.0,1.07,?
5743,Kepler-33,b,,,,,5.66802472,,,1.71,5904.0,1.07,?
5744,Kepler-83,b,2.38,,,,9.77042372,,,,4648.0,,icy
5745,Kepler-249,c,1.25,,,,7.11369666,,,0.51,3635.0,0.51,rocky
5746,Kepler-225,b,1.17,,,,6.73899074,,,0.77,4166.0,0.65,rocky
5747,Kepler-235,e,1.9,,,,46.18428829,,,0.64,4074.0,0.64,rocky
5748,Kepler-114,b,1.04,,,,5.18856137,,,0.7,4662.41,0.74,rocky
5749,Kepler-114,d,2.02,,,,11.77614238,,,0.7,4662.41,0.74,rocky
5750,Kepler-32,c,1.98,,,,8.75208025,,,0.57,3791.0,0.57,rocky
5751,Kepler-353,b,1.0,,,,5.79529807,,,0.63,3915.0,0.61,rocky
5752,Kepler-369,b,1.08,,,,2.73277006,,,0.57,3655.0,0.56,rocky
5753,Kepler-327,c,1.16,,,,5.21231974,,,0.6,3864.0,0.59,rocky
5754,30 Ari B,b,,2097.678,,1.01,345.4,0.18,,1.13,,1.16,gassy
5755,Wolf 1061,b,,1.36,,0.035509,4.8876,0.0,M3/3.5 V,,3393.0,0.25,rocky
5756,HD 33844,c,,556.2025,,2.24,916.0,0.13,K0 III,5.29,4861.0,1.78,gassy
5757,Kepler-44,b,13.451,327.3649,0.73,0.0457,3.246722,,,1.46,5757.0,1.21,gassy
5758,Kepler-40,b,16.141,686.5128,0.89,0.0802,6.8731697,,,2.48,6510.0,1.46,gassy
5759,Kepler-49,d,1.84,,,,2.57656969,,,0.6,4079.0,0.63,rocky
5760,Kepler-49,c,3.1,,,,10.91274807,,,0.6,4079.0,0.63,icy
5761,Kepler-42,c,0.885,,,,,,,0.19,3241.0,0.14,rocky
5762,Kepler-231,b,2.202,,,,,,,0.61,4078.0,0.65,icy
5763,Kepler-296,b,2.15,,3.0,0.082,,,,0.59,3821.0,0.63,rocky
5764,Kepler-296,f,2.08,,3.2,0.266,,,,0.59,3821.0,0.63,rocky
5765,HD 143105,b,,384.5743,,0.0379,2.1974,0.07,F5,,6380.0,1.51,gassy
5766,HIP 109600,b,,851.7844,,0.706,232.08,0.163,G5,,5530.0,0.87,gassy
5767,HD 220842,b,,1010.6994,,0.74,218.47,0.404,F8,,5960.0,1.13,gassy
5768,HD 12484,b,,947.1334,,0.297,58.83,0.07,F8,,5920.0,1.01,gassy
5769,Kepler-120,c,1.62,,,0.08987,12.79397011,,M0 V,0.57,4096.0,0.59,rocky
5770,Kepler-114,c,1.36,,,0.06482,8.04144001,,M0 V,0.54,3983.0,0.56,rocky
5771,Kepler-49,d,1.57,,,0.03,2.57657102,0.0,,0.54,3834.0,0.54,rocky
5772,Kepler-49,e,2.163,,,,,,,0.58,3970.0,0.62,rocky
5773,Kepler-49,b,2.036,,,,,,,0.58,3970.0,0.62,rocky
5774,Kepler-236,c,1.84,,,0.13215,23.97159958,,M1 V,0.51,3750.0,0.54,rocky
5775,Kepler-49,c,2.991,,,,,,,0.58,3970.0,0.62,icy
5776,Kepler-80,b,2.1,,,0.06022,7.05347776,,M0 V,0.57,4040.0,0.59,rocky
5777,Kepler-83,b,2.34,,,0.07295,9.77058983,,M0 V,0.52,3893.0,0.54,icy
5778,Kepler-252,c,2.4,,,0.08145,10.84846973,,M0 V,0.59,4208.0,0.61,icy
5779,Kepler-225,c,1.74,,,0.10714,18.79523087,,M1 V,0.44,3682.0,0.46,rocky
5780,Kepler-28,c,1.73,,,0.07106,8.98596954,,M0 V,0.57,4072.0,0.59,rocky
5781,Kepler-81,c,1.75,,,0.08347,12.03956985,,M0 V,0.52,3896.0,0.54,rocky
5782,Kepler-55,d,1.64,,,0.0287,2.21112285,0.0,,0.66,4505.0,0.65,rocky
5783,Kepler-42,b,0.92,,,0.01153,1.21377206,,M4 V,0.16,3203.0,0.14,rocky
5784,Kepler-283,b,3.44,,,0.08852,11.00823021,,,0.72,5189.0,0.76,icy
5785,Kepler-55,e,1.62,,,0.048,4.61749056,0.0,,0.65,4500.0,0.71,rocky
5786,Kepler-55,d,1.64,,,0.0287,2.21112285,0.0,,0.66,4505.0,0.65,rocky
5787,Kepler-52,c,1.81,,,0.1041,16.38485646,0.0,,0.54,3898.0,0.56,rocky
5788,HD 100546,b,77.342,,,53.0,,,B9 Vne,,10500.0,2.4,gassy
5789,Kepler-55,f,1.75,,,0.0814,10.19849255,0.0,,0.65,4500.0,0.71,rocky
5790,Kepler-55,f,1.6,,,0.0795,10.19851808,0.0,,0.66,4505.0,0.65,rocky
5791,Kepler-55,b,2.43,,,,27.9481449,,,0.58,4362.0,0.62,icy
5792,2MASS J02192210-3925225,b,16.141,4417.837,,156.0,,,M6,0.28,3064.0,0.11,gassy
5793,Kepler-10,b,1.473,,,,0.83749026,0.06,,1.09,5706.0,1.02,rocky
5794,Kepler-107,e,2.92,,,,14.749176,0.02,,1.5,5805.0,1.04,icy
5795,Kepler-109,c,2.634,,,,21.22262,0.03,,1.4,5953.0,1.09,icy
5796,Kepler-127,d,2.668,,,,48.62997,0.03,,1.45,6066.19,1.13,icy
5797,Kepler-126,d,2.513,,,,100.28208,0.02,,1.45,6221.0,1.2,icy
5798,Kepler-23,d,2.235,,,,15.27429,0.08,,1.53,5861.98,1.06,icy
